c_inst_name_code,c_inst_name_hz,c_inst_name_py
630,"妙光寺","Miaoguang Si"
631,"妙喜寺","Miaoxi Si"
632,"妙峰寺","Miaofeng Si"
633,"妙德庵","Miaode An"
634,"妙應寺","Miaoying Si"
635,"妙樂寺","Miaole Si"
636,"妙相寺","Miaoxiang Si"
637,"妙蓮寺","Miaolian Si"
638,"妙覺寺","Miaojue Si"
639,"妙高寺","Miaogao Si"
640,"姜山寺","Jianshan Si"
641,"娑婆寺","Suopo Si"
642,"婆羅寺","Poluo Si"
643,"孝嚴寺","Xiaoyan Si"
644,"孝親寺","Xiaoqin Si"
645,"孟寨寺","Mengzhai Si"
646,"孤雲寺","Guyun Si"
647,"安國寺","Anguo Si"
648,"安禪寺","Anchan Si"
649,"安隱寺","Anyin Si"
650,"安靖寺","Anjing Si"
651,"宏慈寺","Hongci Si"
652,"宏法寺","Hongfa Si"
653,"宏聖寺","Hongsheng Si"
654,"宗善寺","Zongshan Si"
655,"宗說寺","Zongshuo Si"
656,"宗鏡大師廟","Zongjing Dashi Miao"
657,"宗鏡寺","Zongjing Si"
658,"定光寺","Dingguang Si"
659,"定國寺","Dingguo Si"
660,"定惠院","Dinghui Yuan"
661,"定慧寺","Dinghui Si"
662,"定林寺","Dinglin Si"
663,"定洲寺","Dingzhou Si"
664,"宣妙寺","Xuanmiao Si"
665,"宴石寺","Yanshi Si"
666,"寂照寺","Jizhao Si"
667,"密印寺","Miyin Si"
668,"寒山寺","Hanshan Si"
669,"寒岩寺","Hanyan Si"
670,"寒溪寺","Hanxi Si"
671,"實相寺","Shixiang Si"
672,"實胜寺","Shisheng Si"
673,"實際寺","Shiji Si"
674,"寧副寺","Ningfu Si"
675,"寧國寺","Ningguo Si"
676,"寧境寺","Ningjing Si"
677,"寧境華嚴寺","Ningjinghuayan Si"
678,"寶乘寺","Baocheng Si"
679,"寶光寺","Baoguang Si"
680,"寶嚴寺","Baoyan Si"
681,"寶坊寺","Baofang Si"
682,"寶塔寺","Baota Si"
683,"寶塔院","Baota Yuan"
684,"寶山寺","Baoshan Si"
685,"寶峰寺","Baofeng Si"
686,"寶慶寺","Baoqing Si"
687,"寶應寺","Baoying Si"
688,"寶月寺","Baoyue Si"
689,"寶泉寺","Baoquan Si"
690,"寶界寺","Baojie Si"
691,"寶相寺","Baoxiang Si"
692,"寶積寺","Baoji Si"
693,"寶筏寺","Baofa Si"
694,"寶胜寺","Baosheng Si"
695,"寶興寺","Baoxing Si"
696,"寶華寺","Baohua Si"
697,"寶覺寺","Baojue Si"
698,"寶諦寺","Baodi Si"
699,"寶象寺","Baoxiang Si"
700,"寶輪寺","Baolun Si"
701,"寶通寺","Baotong Si"
702,"寶雲寺","Baoyun Si"
703,"寶頂寺","Baoding Si"
704,"封禪寺","Fengchan Si"
705,"將軍寺","Jiangjun Si"
706,"尊胜寺","Zunsheng Si"
707,"小溈山寺","Xiaoweishan Si"
708,"少林寺","Shaolin Si"
709,"尖化寺","Jianhua Si"
710,"居德寺","Jude Si"
711,"山光寺","Shanguang Si"
712,"山前寺","Shanqian Si"
713,"山谷寺","Shangu Si"
714,"岫雲寺","Xiuyun Si"
715,"岳麓寺","Yuelu Si"
716,"峭壁寺","Qiaobi Si"
717,"峴山寺","Xianshan Si"
718,"峽山寺","Xiashan Si"
719,"崇信寺","Chongxin Si"
720,"崇善寺","Chongshan Si"
721,"崇因寺","Chongyin Si"
722,"崇國寺","Chongguo Si"
723,"崇壽寺","Chongshou Si"
724,"崇安寺","Chong'an Si"
725,"崇寧寺","Chongning Si"
726,"崇慶寺","Chongqing Si"
